"","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","FB_P","FB___of_Reviews","FB_Avg_Rating","FB_diff_week","FB_Page_Likes","FB_Page_Follows","IG_P","IG_Follows"
"33",FALSE,"Home Systems","Heating System Repair or Maintenance",FALSE,"Mid","HVAC Specialist","Low",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"34",FALSE,"Home Maintenance","Pest Control Services",TRUE,"High","Pest Control Specialist","High",TRUE,71,4.9,2,FALSE,NA,NA,NA,TRUE,20,5,6.57142857142857,TRUE,1,5,49.4285714285714,NA,TRUE,2,5,14,81,82,TRUE,NA
"35",FALSE,"Home Construction","Deck or Porch Remodel or Addition",FALSE,"High","Carpenter","Mid",TRUE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,285,4.8,1.85714285714286,TRUE,10,3.5,147.285714285714,17,FALSE,NA,NA,NA,NA,NA,TRUE,78
"36",FALSE,"Home Maintenance","House Cleaning",FALSE,"High","Cleaner","High",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,3,4.8,263.714285714286,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"37",FALSE,"Home Maintenance","Carpet Cleaning",TRUE,"High","Cleaner","Mid",TRUE,11,5,4,FALSE,NA,NA,NA,TRUE,NA,NA,NA,TRUE,1,5,51.7142857142857,NA,TRUE,2,NA,97.4285714285714,340,37,TRUE,144
"38",FALSE,"Home Maintenance","Pressure Washing",TRUE,"Mid","Cleaner","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,45,57,TRUE,130
"39",FALSE,"Home Construction","Custom Cabinet Building",TRUE,"Mid","Carpenter","Mid",TRUE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"40",FALSE,"Home Maintenance","Outdoor Landscaping and Design",FALSE,"Mid","Landscaper","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,11,5,27.4285714285714,FALSE,NA,NA,NA,NA,TRUE,1,5,170.571428571429,180,181,FALSE,NA
"41",TRUE,"Home Maintenance","Outdoor Landscaping and Design",TRUE,"High","Landscaper","Mid",TRUE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,2,5,35,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,16
"42",FALSE,"Home Maintenance","Full Service Lawn Care",FALSE,"Mid","Landscaper","Low",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"43",TRUE,"Home Construction","Home Remodeling",FALSE,"Mid","General Contractor","Low",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,1,4.5,713.571428571429,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
