"","Id","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","IG_P","IG_Follows","category_G","Review_sum","Avg_Rating_sum","diff_week_sum","P_num","Review_mean","Avg_Rating_mean","diff_week_mean"
"51","00Q3q00001aNaZKEA0","TRUE","Home Maintenance","Junk Removal",1,3,"Mover",1,TRUE,6,5,2,FALSE,0,0,0,TRUE,1,5,71.5714285714286,TRUE,0,0,0,0,FALSE,0,"Mover",7,10,73.5714285714286,3,2.33333333333333,3.33333333333333,24.5238095238095
"52","00Q3q00001aNaniEAC","FALSE","Home Maintenance","Mold Inspection and Removal",1,1,"Inspector and Restorer",1,TRUE,18,4.2,4,TRUE,113,4.8,38.4285714285714,TRUE,30,4.8,38.2857142857143,TRUE,2,3.5,48.2857142857143,1,FALSE,0,"Handyman/Electrician",163,17.3,129,4,40.75,4.325,32.25
"53","00Q3q00001aNanZEAS","TRUE","Home Construction","General Contracting",1,2,"General Contractor",2,TRUE,4,5,16,FALSE,0,0,0,TRUE,3,4.83,656.857142857143,FALSE,0,0,0,0,FALSE,0,"General Contractor",7,9.83,672.857142857143,2,3.5,4.915,336.428571428572
"54","00Q3q00001aNb3dEAC","FALSE","Home Construction","Home Remodeling",1,3,"General Contractor",2,TRUE,3,5,8,FALSE,0,0,0,TRUE,5,4.8,214.571428571429,TRUE,0,0,0,0,TRUE,113,"General Contractor",8,9.8,222.571428571429,3,2.66666666666667,3.26666666666667,74.1904761904763
"55","00Q3q00001aNbG0EAK","TRUE","Home Maintenance","Pest Control Services",1,3,"Pest Control Specialist",2,TRUE,107,5,2,FALSE,0,0,0,TRUE,36,4.7,56.5714285714286,TRUE,2,5,0,0,FALSE,0,"Pest Control Specialist",145,14.7,58.5714285714286,3,48.3333333333333,4.9,19.5238095238095
"56","00Q3q00001ZxNlXEAV","FALSE","Home Maintenance","Outdoor Landscaping and Design",1,3,"Landscaper",3,FALSE,0,0,0,FALSE,0,0,0,FALSE,0,0,0,TRUE,8,5,0,3,TRUE,116,"Landscaper 1",8,5,0,1,8,5,0
"57","00Q3q00001aPdcWEAS","FALSE","Home Construction","Roof Repair or Maintenance",1,3,"Roofer and Sider",3,TRUE,9,4.6,20,FALSE,0,0,0,FALSE,0,0,0,TRUE,115,4.5,0,32,FALSE,0,"Roofer and Sider",124,9.1,20,2,62,4.55,10
"58","00Q3q00001XgGSwEAN","FALSE","Home Systems","Plumbing Pipe Repair",1,2,"Plumber",3,TRUE,3053,4.8,8,TRUE,10,4.2,205.285714285714,FALSE,0,0,0,TRUE,100,4,16.4285714285714,0,FALSE,0,"Plumber",3163,13,229.714285714285,3,1054.33333333333,4.33333333333333,76.5714285714285
"59","00Q3q00001aPdB0EAK","FALSE","Home Maintenance","Artificial Turf Installation",0,3,"Landscaper",2,FALSE,0,0,0,FALSE,0,0,0,FALSE,0,0,0,TRUE,10,5,1,1,TRUE,23,"Landscaper 1",10,5,1,1,10,5,1
"60","00Q3q00001WYwBcEAL","FALSE","Home Maintenance","Fireplace and Chimney Cleaning or Repair",1,3,"HVAC Specialist",2,TRUE,334,4.7,2,FALSE,0,0,0,TRUE,42,4.5,5.28571428571429,TRUE,18,3.5,1.71428571428571,22,TRUE,800,"HVAC Specialist",394,12.7,9,3,131.333333333333,4.23333333333333,3
