"","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","FB_P","FB___of_Reviews","FB_Avg_Rating","FB_diff_week","FB_Page_Likes","FB_Page_Follows","IG_P","IG_Follows","Review_sum","Avg_Rating_sum","diff_week_sum","P_num","Review_mean","Avg_Rating_mean","diff_week_mean"
"107","FALSE","Home Construction","Masonry Construction Services",0,"Mid","Mason",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,697.857142857143,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,1,5,697.857142857143,1,1,5,697.857142857143
"108","FALSE","Home Construction","General Contracting",0,"Mid","General Contractor",2,TRUE,1,5,96,FALSE,0,0,0,TRUE,3,4.72,688.571428571429,FALSE,0,0,0,0,TRUE,1,1,0,93,91,FALSE,0,5,10.72,784.571428571429,3,1.66666666666667,3.57333333333333,261.52380952381
"109","FALSE","Home Maintenance","Mold Inspection and Removal",0,"Low","Inspector and Restorer",2,FALSE,0,0,0,TRUE,2,5,313.285714285714,TRUE,1,5,582.571428571429,TRUE,0,0,350.142857142857,1,FALSE,0,0,0,0,0,FALSE,0,3,10,1246,3,1,3.33333333333333,415.333333333333
"110","FALSE","Home Systems","Central Air Conditioning Installation or Replacement",0,"High","HVAC Specialist",3,TRUE,4,4,96,FALSE,0,0,0,TRUE,1,5,551.428571428571,TRUE,0,0,0,2,FALSE,0,0,0,0,0,FALSE,0,5,9,647.428571428571,3,1.66666666666667,3,215.809523809524
"111","FALSE","Home Construction","Window Installation",1,"Low","Handyman",2,TRUE,2,5,96,TRUE,3,5,415.571428571429,TRUE,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,13,29,FALSE,0,5,10,511.571428571429,4,1.25,2.5,127.892857142857
"112","FALSE","Home Construction","General Contracting",0,"High","General Contractor",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,TRUE,1,5,371.571428571429,0,FALSE,0,0,0,0,0,FALSE,0,1,5,371.571428571429,2,0.5,2.5,185.785714285715
"113","FALSE","Home Systems","Heating System Repair or Maintenance",1,"High","HVAC Specialist",1,TRUE,111,4.5,4,FALSE,0,0,0,TRUE,0,0,0,TRUE,13,2.5,276.428571428571,10,TRUE,24,4.3,36.1428571428571,297,307,FALSE,0,148,11.3,316.571428571428,4,37,2.825,79.142857142857
"114","FALSE","Home Systems","Plumbing Drain Repair",0,"Mid","Plumber",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,186,4.7,2.28571428571429,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,186,4.7,2.28571428571429,1,186,4.7,2.28571428571429
"115","TRUE","Home Construction","Roof Repair or Maintenance",1,"Low","Roofer and Sider",2,TRUE,55,4.8,12,TRUE,13,5,3.14285714285714,TRUE,44,5,15.5714285714286,TRUE,1,5,241.285714285714,13,TRUE,32,5,18.2857142857143,648,645,FALSE,0,145,24.8,290.285714285714,5,29,4.96,58.0571428571428
"116","FALSE","Home Construction","Roof Repair or Maintenance",1,"Low","Roofer and Sider",2,TRUE,39,4.7,12,TRUE,93,5,69,TRUE,22,4.8,31,TRUE,2,3,7.71428571428571,0,TRUE,24,4.2,21.1428571428571,1043,1089,TRUE,509,180,21.7,140.857142857143,5,36,4.34,28.1714285714286
"117","TRUE","Home Maintenance","House Cleaning",1,"Mid","Cleaner",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,6,5,6.57142857142857,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,6,5,6.57142857142857,1,6,5,6.57142857142857
"118","FALSE","Home Systems","Central Air Conditioning Installation or Replacement",1,"High","HVAC Specialist",2,TRUE,8,5,8,FALSE,0,0,0,TRUE,4,5,8.14285714285714,TRUE,0,0,12.5714285714286,1,FALSE,0,0,0,0,0,FALSE,0,12,10,28.7142857142857,3,4,3.33333333333333,9.57142857142858
"119","FALSE","Home Construction","Tile Installation and Replacement",1,"High","Floor, Carpet, and Tile Specialist",3,TRUE,12,4.3,4,FALSE,0,0,0,TRUE,3,3.3,7.85714285714286,TRUE,2,1,8.57142857142857,0,FALSE,0,0,0,37,38,FALSE,0,17,8.6,20.4285714285714,3,5.66666666666667,2.86666666666667,6.80952380952381
"120","FALSE","Home Maintenance","Full Service Lawn Care",0,"Mid","Landscaper",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0
"121","FALSE","Home Construction","Tile Installation and Replacement",1,"High","Floor, Carpet, and Tile Specialist",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,14.2857142857143,TRUE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,1,5,14.2857142857143,2,0.5,2.5,7.14285714285715
